mca12,ident3,se2,coded_ms,id3_ind,se2_ind,int_111,int_2,int_2_ind,F1_initial,F1_second,F1_fitted,B1_fitted,B2_fitted,F2_fitted,B3_fitted,B4_fitted,F1,B1,B2,F2,B3,B4,F1,F1,B1,B2,F2,B3,B4,Best_Model,se2_id3_ind Model,se3_ind,se3_ind+id3_ind,id3_ind_model,int_2_model,int_0_fitted,int_0_model
5,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,-0.39,-0.82,-0.95,-0.22,-0.2,-0.35,intercept,5.25,8.83,9.59,6.54,6.47,6.68,-1.1,-0.755,0,-1.72,-1.21,0.25,6.04,-1.04
7,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,1.61,1.18,1.05,1.78,1.8,1.65,id3,-0.47,-0.43,-0.52,-0.95,-0.93,-1.11,0.9,1.245,1,1.47,0.79,2.25,6.04,0.96
1,9,4,1,1,1,1,4,1,2.98,0,2.98,4.96,4.91,4.27,4.27,4.24,-1.98,-3.96,-3.91,-3.27,-3.27,-3.24,se2:ms(1),0.49,0,0,-1.32,-1.27,-1.33,-1.86,-3.645,1,-3.41,-4.22,-3.75,4.79,-3.79
7,4,7,1,0,1,0,7,1,6.8,0,6.8,7.11,7.51,5.22,5.2,5.35,0.2,-0.11,-0.51,1.78,1.8,1.65,se2:ms(0),0.53,,,,,,0.9,1.245,1,1.47,0.79,2.25,6.04,0.96
5,7,8,1,0,0,0,8,0,5.88,0,5.88,5.82,5.95,6.54,6.47,6.68,-0.88,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-1.7,0,-1.72,-1.21,-1.05,6.04,-1.04
5,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,-0.39,-0.82,-0.95,-0.22,-0.2,-0.35,,,,,,,,-1.1,-0.755,0,-1.72,-1.21,0.25,6.04,-1.04
7,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,1.59,1.61,1.57,1.41,1.46,1.43,,,,,,,,0.9,1.41,0,1.4,1.78,0.95,6.04,0.96
7,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,2.08,1.61,1.57,2.73,2.73,2.76,,,,,,,,0.9,2.355,0,1.4,1.78,2.25,4.79,2.21
6,5,7,1,0,1,0,7,1,6.33,0,6.33,6.68,6.99,5.22,5.2,5.35,-0.33,-0.68,-0.99,0.78,0.8,0.65,,,,,,,,-0.1,0.245,0,-0.72,-0.21,1.25,6.04,-0.04
5,9,7,1,1,1,0,7,1,4.45,0,4.45,4.96,4.91,4.27,4.27,4.24,0.55,0.04,0.09,0.73,0.73,0.76,,,,,,,,-1.1,0.355,0,-0.6,-0.22,0.25,4.79,0.21
8,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,2.59,2.61,2.57,2.41,2.46,2.43,,,,,,,,1.9,2.41,0,2.4,2.78,1.95,6.04,1.96
1,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,-4.39,-4.82,-4.95,-4.22,-4.2,-4.35,,,,,,,,-5.1,-4.755,1,-4.53,-5.21,-3.75,6.04,-5.04
6,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,1.08,0.61,0.57,1.73,1.73,1.76,,,,,,,,-0.1,1.355,0,0.4,0.78,1.25,4.79,1.21
9,1,7,0,0,1,0,0,0,4.78,3.71,8.49,8.4,9.07,6.54,6.47,6.68,0.51,0.6,-0.07,2.46,2.53,2.32,,,,,,,,2.9,3.245,0,2.28,2.79,2.95,6.04,2.96
8,8,6,0,1,1,0,0,0,1.49,3.18,4.67,5.39,5.43,5.59,5.54,5.57,3.33,2.61,2.57,2.41,2.46,2.43,,,,,,,,1.9,3.355,0,2.4,2.78,1.95,4.79,3.21
4,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,-2.2,-1.82,-1.95,-2.54,-2.47,-2.68,,,,,,,,-2.1,-2.7,0,-2.72,-2.21,-2.05,6.04,-2.04
5,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,0.27,0.04,0.09,-0.59,-0.54,-0.57,,,,,,,,-1.1,0.355,0,-0.6,-0.22,-1.05,4.79,0.21
9,6,5,0,0,1,0,0,0,2.43,2.65,5.08,6.25,6.47,6.54,6.47,6.68,3.92,2.75,2.53,2.46,2.53,2.32,,,,,,,,2.9,3.245,0,2.28,2.79,2.95,6.04,2.96
9,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,2.8,3.18,3.05,2.46,2.53,2.32,,,,,,,,2.9,2.3,1,3.47,2.79,2.95,6.04,2.96
9,1,5,0,0,1,0,0,0,4.78,2.65,7.43,8.4,9.07,6.54,6.47,6.68,1.57,0.6,-0.07,2.46,2.53,2.32,,,,,,,,2.9,3.245,1,3.47,2.79,2.95,6.04,2.96
5,7,7,0,0,1,0,0,0,1.96,3.71,5.67,5.82,5.95,6.54,6.47,6.68,-0.67,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-0.755,0,-1.72,-1.21,-1.05,6.04,-1.04
9,9,9,0,1,0,0,0,0,1.02,4.77,5.79,4.96,4.91,5.59,5.54,5.57,3.21,4.04,4.09,3.41,3.46,3.43,,,,,,,,2.9,3.41,0,3.4,3.78,2.95,6.04,2.96
7,7,8,1,0,0,0,8,0,5.88,0,5.88,5.82,5.95,6.54,6.47,6.68,1.12,1.18,1.05,0.46,0.53,0.32,,,,,,,,0.9,0.3,0,0.28,0.79,0.95,6.04,0.96
5,6,7,1,0,1,0,7,1,5.86,0,5.86,6.25,6.47,5.22,5.2,5.35,-0.86,-1.25,-1.47,-0.22,-0.2,-0.35,,,,,,,,-1.1,-0.755,0,-1.72,-1.21,0.25,6.04,-1.04
7,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,1.59,1.61,1.57,1.41,1.46,1.43,,,,,,,,0.9,1.41,0,1.4,1.78,0.95,6.04,0.96
5,7,9,1,0,0,0,9,0,6.37,0,6.37,5.82,5.95,6.54,6.47,6.68,-1.37,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-1.7,1,-0.53,-1.21,-1.05,6.04,-1.04
7,5,8,1,0,0,0,8,0,6.82,0,6.82,6.68,6.99,6.54,6.47,6.68,0.18,0.32,0.01,0.46,0.53,0.32,,,,,,,,0.9,0.3,1,1.47,0.79,0.95,6.04,0.96
6,9,9,1,1,0,0,9,0,5.43,0,5.43,4.96,4.91,5.59,5.54,5.57,0.57,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
4,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,-2.2,-1.82,-1.95,-2.54,-2.47,-2.68,,,,,,,,-2.1,-2.7,1,-1.53,-2.21,-2.05,6.04,-2.04
7,9,8,0,1,0,0,0,0,1.02,4.24,5.26,4.96,4.91,5.59,5.54,5.57,1.74,2.04,2.09,1.41,1.46,1.43,,,,,,,,0.9,1.41,0,1.4,1.78,0.95,6.04,0.96
3,8,7,0,1,1,0,0,0,1.49,3.71,5.2,5.39,5.43,5.59,5.54,5.57,-2.2,-2.39,-2.43,-2.59,-2.54,-2.57,,,,,,,,-3.1,-1.645,0,-2.6,-2.22,-3.05,4.79,-1.79
9,7,8,0,0,0,0,0,0,1.96,4.24,6.2,5.82,5.95,6.54,6.47,6.68,2.8,3.18,3.05,2.46,2.53,2.32,,,,,,,,2.9,2.3,1,3.47,2.79,2.95,6.04,2.96
5,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,-0.73,-0.39,-0.43,-0.59,-0.54,-0.57,,,,,,,,-1.1,-0.59,0,-0.6,-0.22,-1.05,6.04,-1.04
2,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,-3.73,-3.39,-3.43,-3.59,-3.54,-3.57,,,,,,,,-4.1,-3.59,0,-3.6,-3.22,-4.05,6.04,-4.04
8,7,7,0,0,1,0,0,0,1.96,3.71,5.67,5.82,5.95,6.54,6.47,6.68,2.33,2.18,2.05,1.46,1.53,1.32,,,,,,,,1.9,2.245,0,1.28,1.79,1.95,6.04,1.96
6,9,8,0,1,0,0,0,0,1.02,4.24,5.26,4.96,4.91,5.59,5.54,5.57,0.74,1.04,1.09,0.41,0.46,0.43,,,,,,,,-0.1,0.41,0,0.4,0.78,-0.05,6.04,-0.04
7,8,8,1,1,0,1,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,1.59,1.61,1.57,1.41,1.46,1.43,,,,,,,,4.14,1.41,1,2.59,1.78,0.95,6.04,0.96
5,9,9,1,1,0,1,9,0,5.43,0,5.43,4.96,4.91,5.59,5.54,5.57,-0.43,0.04,0.09,-0.59,-0.54,-0.57,,,,,,,,2.14,-0.59,1,0.59,-0.22,-1.05,6.04,-1.04
2,8,7,1,1,1,1,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,-2.92,-3.39,-3.43,-2.27,-2.27,-2.24,,,,,,,,-0.86,-2.645,1,-2.41,-3.22,-2.75,4.79,-2.79
5,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,-0.41,-0.39,-0.43,-0.59,-0.54,-0.57,,,,,,,,-1.1,-0.59,0,-0.6,-0.22,-1.05,6.04,-1.04
1,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,-3.73,-3.96,-3.91,-4.59,-4.54,-4.57,,,,,,,,-5.1,-3.645,0,-4.6,-4.22,-5.05,4.79,-3.79
2,4,8,0,0,0,0,0,0,3.37,4.24,7.61,7.11,7.51,6.54,6.47,6.68,-5.61,-5.11,-5.51,-4.54,-4.47,-4.68,,,,,,,,-4.1,-4.7,0,-4.72,-4.21,-4.05,6.04,-4.04
4,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,-1.73,-1.39,-1.43,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
5,7,7,0,0,1,0,0,0,1.96,3.71,5.67,5.82,5.95,6.54,6.47,6.68,-0.67,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-0.755,0,-1.72,-1.21,-1.05,6.04,-1.04
4,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,-0.73,-0.96,-0.91,-1.59,-1.54,-1.57,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-2.05,4.79,-0.79
7,5,7,0,0,1,0,0,0,2.9,3.71,6.61,6.68,6.99,6.54,6.47,6.68,0.39,0.32,0.01,0.46,0.53,0.32,,,,,,,,0.9,1.245,0,0.28,0.79,0.95,6.04,0.96
4,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,-0.92,-1.39,-1.43,-0.27,-0.27,-0.24,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-0.75,4.79,-0.79
9,6,9,1,0,0,0,9,0,6.84,0,6.84,6.25,6.47,6.54,6.47,6.68,2.16,2.75,2.53,2.46,2.53,2.32,,,,,,,,2.9,2.3,1,3.47,2.79,2.95,6.04,2.96
6,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,0.61,0.18,0.05,0.78,0.8,0.65,,,,,,,,-0.1,0.245,0,-0.72,-0.21,1.25,6.04,-0.04
6,6,6,0,0,1,0,0,0,2.43,3.18,5.61,6.25,6.47,6.54,6.47,6.68,0.39,-0.25,-0.47,-0.54,-0.47,-0.68,,,,,,,,-0.1,0.245,0,-0.72,-0.21,-0.05,6.04,-0.04
4,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,-0.73,-0.96,-0.91,-1.59,-1.54,-1.57,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-2.05,4.79,-0.79
8,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,3.27,3.04,3.09,2.41,2.46,2.43,,,,,,,,1.9,3.355,0,2.4,2.78,1.95,4.79,3.21
